Nadir angle (deg),GAL FOC E1
0,14.35
0.1,14.36
0.2,14.37
0.3,14.37
0.4,14.38
0.5,14.38
0.6,14.39
0.7,14.39
0.8,14.4
0.9,14.4
1,14.41
1.1,14.43
1.2,14.46
1.3,14.48
1.4,14.5
1.5,14.53
1.6,14.55
1.7,14.57
1.8,14.59
1.9,14.62
2,14.64
2.1,14.66
2.2,14.69
2.3,14.71
2.4,14.73
2.5,14.75
2.6,14.78
2.7,14.8
2.8,14.82
2.9,14.85
3,14.87
3.1,14.91
3.2,14.94
3.3,14.98
3.4,15.01
3.5,15.05
3.6,15.08
3.7,15.12
3.8,15.15
3.9,15.19
4,15.22
4.1,15.25
4.2,15.28
4.3,15.31
4.4,15.34
4.5,15.37
4.6,15.41
4.7,15.44
4.8,15.47
4.9,15.5
5,15.53
5.1,15.57
5.2,15.6
5.3,15.63
5.4,15.67
5.5,15.7
5.6,15.73
5.7,15.77
5.8,15.8
5.9,15.83
6,15.86
6.1,15.88
6.2,15.91
6.3,15.94
6.4,15.96
6.5,15.99
6.6,16.01
6.7,16.04
6.8,16.06
6.9,16.09
7,16.11
7.1,16.13
7.2,16.14
7.3,16.16
7.4,16.17
7.5,16.19
7.6,16.2
7.7,16.22
7.8,16.23
7.9,16.25
8,16.26
8.1,16.26
8.2,16.27
8.3,16.28
8.4,16.28
8.5,16.29
8.6,16.29
8.7,16.3
8.8,16.3
8.9,16.31
9,16.31
9.1,16.3
9.2,16.29
9.3,16.28
9.4,16.27
9.5,16.26
9.6,16.25
9.7,16.24
9.8,16.22
9.9,16.21
10,16.2
10.1,16.17
10.2,16.15
10.3,16.12
10.4,16.09
10.5,16.07
10.6,16.04
10.7,16.01
10.8,15.99
10.9,15.96
11,15.93
11.1,15.9
11.2,15.86
11.3,15.83
11.4,15.79
11.5,15.75
11.6,15.71
11.7,15.68
11.8,15.64
11.9,15.6
12,15.57
12.1,15.51
12.2,15.46
12.3,15.4
12.4,15.35
12.5,15.29
12.6,15.24
12.7,15.18
12.8,15.12
12.9,15.07
13,15.01
13.1,14.94
13.2,14.87
13.3,14.8
13.4,14.73
13.5,14.66
13.6,14.59
13.7,14.52
13.8,14.45
13.9,14.38
14,14.3
14.1,14.22
14.2,14.14
14.3,14.06
14.4,13.98
14.5,13.9
14.6,13.81
14.7,13.73
14.8,13.64
14.9,13.55
15,13.47
15.1,13.37
15.2,13.28
15.3,13.19
15.4,13.09
15.5,13
15.6,12.9
15.7,12.81
15.8,12.72
15.9,12.62
16,12.53
16.1,12.44
16.2,12.35
16.3,12.25
16.4,12.16
16.5,12.07
16.6,11.97
16.7,11.88
16.8,11.79
16.9,11.69
17,11.6
17.1,11.51
17.2,11.41
17.3,11.32
17.4,11.23
17.5,11.13
17.6,11.04
17.7,10.95
17.8,10.86
17.9,10.76
18,10.67
18.1,10.58
18.2,10.48
18.3,10.39
18.4,10.3
18.5,10.2
18.6,10.11
18.7,10.02
18.8,9.92
18.9,9.83
19,9.74
19.1,9.64
19.2,9.55
19.3,9.46
19.4,9.37
19.5,9.27
19.6,9.18
19.7,9.09
19.8,8.99
19.9,8.9
20,8.81
