Nadir angle (deg),GPS 2,GPS 3,GPS 4,GPS 5,GPS 6,GPS 7,GPS 8
0,14.82,14.82,14.82,14.82,14.89,14.89,14.89
0.1,14.83,14.83,14.83,14.83,14.88,14.88,14.88
0.2,14.83,14.83,14.83,14.83,14.87,14.87,14.87
0.3,14.82,14.82,14.82,14.82,14.86,14.86,14.86
0.4,14.81,14.81,14.81,14.81,14.85,14.85,14.85
0.5,14.8,14.8,14.8,14.8,14.84,14.84,14.84
0.6,14.79,14.79,14.79,14.79,14.83,14.83,14.83
0.7,14.78,14.78,14.78,14.78,14.83,14.83,14.83
0.8,14.77,14.77,14.77,14.77,14.82,14.82,14.82
0.9,14.76,14.76,14.76,14.76,14.82,14.82,14.82
1,14.76,14.76,14.76,14.76,14.81,14.81,14.81
1.1,14.75,14.75,14.75,14.75,14.8,14.8,14.8
1.2,14.74,14.74,14.74,14.74,14.8,14.8,14.8
1.3,14.73,14.73,14.73,14.73,14.79,14.79,14.79
1.4,14.72,14.72,14.72,14.72,14.78,14.78,14.78
1.5,14.71,14.71,14.71,14.71,14.78,14.78,14.78
1.6,14.7,14.7,14.7,14.7,14.77,14.77,14.77
1.7,14.68,14.68,14.68,14.68,14.77,14.77,14.77
1.8,14.67,14.67,14.67,14.67,14.76,14.76,14.76
1.9,14.65,14.65,14.65,14.65,14.75,14.75,14.75
2,14.64,14.64,14.64,14.64,14.74,14.74,14.74
2.1,14.62,14.62,14.62,14.62,14.72,14.72,14.72
2.2,14.61,14.61,14.61,14.61,14.7,14.7,14.7
2.3,14.59,14.59,14.59,14.59,14.68,14.68,14.68
2.4,14.58,14.58,14.58,14.58,14.66,14.66,14.66
2.5,14.56,14.56,14.56,14.56,14.64,14.64,14.64
2.6,14.55,14.55,14.55,14.55,14.62,14.62,14.62
2.7,14.53,14.53,14.53,14.53,14.6,14.6,14.6
2.8,14.51,14.51,14.51,14.51,14.58,14.58,14.58
2.9,14.5,14.5,14.5,14.5,14.56,14.56,14.56
3,14.48,14.48,14.48,14.48,14.54,14.54,14.54
3.1,14.47,14.47,14.47,14.47,14.52,14.52,14.52
3.2,14.45,14.45,14.45,14.45,14.5,14.5,14.5
3.3,14.44,14.44,14.44,14.44,14.48,14.48,14.48
3.4,14.42,14.42,14.42,14.42,14.46,14.46,14.46
3.5,14.4,14.4,14.4,14.4,14.45,14.45,14.45
3.6,14.38,14.38,14.38,14.38,14.43,14.43,14.43
3.7,14.36,14.36,14.36,14.36,14.42,14.42,14.42
3.8,14.35,14.35,14.35,14.35,14.4,14.4,14.4
3.9,14.33,14.33,14.33,14.33,14.39,14.39,14.39
4,14.31,14.31,14.31,14.31,14.37,14.37,14.37
4.1,14.29,14.29,14.29,14.29,14.36,14.36,14.36
4.2,14.27,14.27,14.27,14.27,14.34,14.34,14.34
4.3,14.26,14.26,14.26,14.26,14.33,14.33,14.33
4.4,14.24,14.24,14.24,14.24,14.31,14.31,14.31
4.5,14.22,14.22,14.22,14.22,14.3,14.3,14.3
4.6,14.2,14.2,14.2,14.2,14.29,14.29,14.29
4.7,14.18,14.18,14.18,14.18,14.27,14.27,14.27
4.8,14.17,14.17,14.17,14.17,14.26,14.26,14.26
4.9,14.15,14.15,14.15,14.15,14.26,14.26,14.26
5,14.13,14.13,14.13,14.13,14.25,14.25,14.25
5.1,14.11,14.11,14.11,14.11,14.24,14.24,14.24
5.2,14.09,14.09,14.09,14.09,14.24,14.24,14.24
